댓글
눈먼돈 굴러가는소리.. 정권의 문제이면서.. 동시에 입법부와 행정부 맨파워의 문제. 요즘 정치뉴스보면 아프리카 티비 bj들 연예뉴스 수준이다. 숟가락 얹기 뿐
정말 큰일이네요책임의식없는 대통령은 공부도 안하고 근거도 없이 헛발질만 해대니... 철저한 사전조사와 계획이 필요하다는 글로 읽히는데 제대로 읽은게 맞나요? 어렵네요.
진짜 하늘님 데려가 주셔요.
"예타까지 면제하고 반도체 공장 때려 지을께 아니라 우리가 비메모리 반도체 시장에서 파 먹을 분야를 고민하고 효율적으로 전략과 계획을 짜보라는 이야기네. 근데 이놈들은 공장 때려 짓겠지. 그리고 망하면 문재인 핑계대고, 그리고 이를 보도하면 가짜뉴스라고 기자들 수사하겠지. 그러다 안되면 공장있는 지자체 장과 도지사 책임으로 넘기겠지. 그리고 순방가서 미국 일본 밑으로 들어오라고 설득하러 다니겠지 그리고 귀국해서 이재명이 구속됐나 안됐나 확인하고 검사들 쪼으겠지."
이런 기자들 많이 나와라썩은 대한민국 언론
결국 중요한게 무엇인지 모르고 이슈를 따라서 정책을 세우니 망해간다는 이야기. 원전도 2찍들이 좋아하는거라서 이슈화했을뿐 관심도 없을듯.
무식한데 고집세고 포악하기까지한 인간이 대통령이 되면 나라가 한순간에 망하는구나를 여실히 보여주네요.
친일 매국노 윤석렬이 무식하다는건 니들 매국노 윤석렬 지지하는 정신이상자들도 좀 인정해라..하긴 인정 못하니까 정신이상자들이지~ㅋㅋㅋㅋㅋㅋㅋㅋ
"아무리 쉽게 읽기 편하게 써줘도 윤술통은 유튜브에 빠졌기 때문에 책을 안읽고 안본다는 사실이다, 오직천공과 극우 유튜브만이 신봉하는 개돼지나 다름없다."
"듣고싶은 것만, 보고싶운 것만, 먹고싶은 것만. 이러니 나라가 위험ㄹ함"
"석려라..,,잘 읽어보고, 이봉렬기자에게 ""고맙습니다""해야지"
무식한 자가 뭘 알고 떠드나 써준거나 제대로 읽든지 모르면 공부라도 하든지 전문가를 그렇게 못 믿나
저런 돌을 뽑은 국민은 위대한가 ?? 임기 보장도 할 필요없다 ??
그런거 읽겠어? 카르텔이 원하는 방향을 정해놓고 수치를 조작하고 있을텐데.
무식 무개념
사법시험도 9년 걸렸는데....연구원 보고서 숙지하려면 좀더 시간이 걸릴듯. 어쩌면 퇴임후에 감잡을 수도...
대통령이 다양한 분야의 목소리를 잘듣고 조율하는 정치를 해야되는 자린데 법기술말고 아는것도 없는 인간이 내가 무조건 옳다 이러고 있으니ㅉㅉ
이런거 자세히 분석해서 올려줘도 2찍들은 문재인때문에 삼성이 tsmc에 졌다고 생각합니다..
대한민국 작금의 사태들을 보면 보수와 진보가 바뀐거 같다는 느낌이다. 하긴 저들은 보수도 아니고 보수를 가장한 수구세력 민족 반역자들이지
뇌가 석두에게 너무 많은 것을 바라시네요. 이번 정권은 정적 제거와 뉴라이트 이념에만 촛점을 맞추어 내년 총선에서 승리하는 것 만이 지상 최대의 목표입니다. 국가의 미래가 암울하네요.
"그니까 우리나라 성장동력에 일부였던 사업이 조옷됐다 이말이군요~비메모리부분까지 일본한테마저 졌군요 ,원전팔이 하더만 원자로파괴로 만든 오염수만 잔뜩 가져오시고. 기대한건아니지만 정도가 심허다 심해 박근혜땐 그나마 참모들이라도 일했는디. 폭군이라 참모들도 간신배들만 들 끓으니 처참하다 처참해"
탄핵이 답~~~민주당은 즉각 탄핵 발의에 나서라
멸공과 반국가세력만 외치는 좀비 대통령과 손이 발이되도록 빌 줄만 아는 참모들 낫 놓고 기억지도 모르는 이찍이들 세금깍아주고 혜택 주면 나라도 팔아먹을 강남 서초 이찍이들의 콜라보
대통령의 삽질? 어느나라 대통령을 비난하는 겁니까?초등학생도 자기 학교 선생님이나 부모 비방하는 노골적인 글을 학교신문에 떡하니 올리진 않죠? 최소한의 기본은 지킵시다.이러고 언론의자유?
너무 그러지마라. 접대부끼고 술이나 쳐먹는 왜구가 뭘알겠나..... 접대부 기둥서방이 뭘 알겠냐고... 저걸 뽑은 국민들이 문제지....ㅋㅋㅋ
보고서 볼시간이 없어유~ 극우 유튜브 보면서 술먹어야지유~ㅋㅋ
뭘 제대로 아는게 있어야
이꼴을 보려고 윤가를 찍은게 아니거늘.
"‘아직 안 망했잖아. 더 확실한 것을 가져와.낼 당장 아니 오늘 당장 경제 폭망했다는 증거를 보여줘. 아님 다 가짜뉴스야.’— 이렇게, 2찍과 태극기부대 일베 윤 간첩일당은 오늘도 친일 이념 전파에 몰두하며, 사실보도하는 언론 때려잡고, 자신의 과오를 덮고, 국민을 속여 총선에 탄핵저지선인 100석을 목표로 광분하고 있음."
뭐하나 제대로 하는게없는 바보네 옆에 법사들이 미천하니 하는짓마다 한숨 나온다
그런다고 들을 윤떡이 아니지.
70년대로 회귀하는 쓰레기 정부가 대한민국을 망치고있다 저 자식 뽑은 것들아 니들 손가락부터 자르거라
이념이 중요하댜..굥으로 나라망침
눈먼돈 굴러가는소리.. 정권의 문제이면서.. 동시에 입법부와 행정부 맨파워의 문제. 요즘 정치뉴스보면 아프리카 티비 bj들 연예뉴스 수준이다. 숟가락 얹기 뿐
정말 큰일이네요책임의식없는 대통령은 공부도 안하고 근거도 없이 헛발질만 해대니... 철저한 사전조사와 계획이 필요하다는 글로 읽히는데 제대로 읽은게 맞나요? 어렵네요.
진짜 하늘님 데려가 주셔요.
"예타까지 면제하고 반도체 공장 때려 지을께 아니라 우리가 비메모리 반도체 시장에서 파 먹을 분야를 고민하고 효율적으로 전략과 계획을 짜보라는 이야기네. 근데 이놈들은 공장 때려 짓겠지. 그리고 망하면 문재인 핑계대고, 그리고 이를 보도하면 가짜뉴스라고 기자들 수사하겠지. 그러다 안되면 공장있는 지자체 장과 도지사 책임으로 넘기겠지. 그리고 순방가서 미국 일본 밑으로 들어오라고 설득하러 다니겠지 그리고 귀국해서 이재명이 구속됐나 안됐나 확인하고 검사들 쪼으겠지."
이런 기자들 많이 나와라썩은 대한민국 언론
결국 중요한게 무엇인지 모르고 이슈를 따라서 정책을 세우니 망해간다는 이야기. 원전도 2찍들이 좋아하는거라서 이슈화했을뿐 관심도 없을듯.
무식한데 고집세고 포악하기까지한 인간이 대통령이 되면 나라가 한순간에 망하는구나를 여실히 보여주네요.
친일 매국노 윤석렬이 무식하다는건 니들 매국노 윤석렬 지지하는 정신이상자들도 좀 인정해라..하긴 인정 못하니까 정신이상자들이지~ㅋㅋㅋㅋㅋㅋㅋㅋ
그는 처음 그대로 우이독경 일뿐입니다 항상 귀에 눈에 이렇게 잘 들어오는 소중한 글들을 국민만 보고있을겁니다 이봉열 기자님 늘 응원과 감사합니다
대통령이 B급도 못되는 C급인데 그 밑에 관료들이야 두말할 필요없이 멍텅구리가 아니겠냐..? 살다살다 이명박도 아닌 박근혜를 그리워하는 날도 다 오네..?
도리는 입 하나만 있으면 다되지요!
반도체 전문기자..
반도체가 뭔지나 아는지탄핵만이 살 길 이다
아... 시민기자 였구나..
진짜 삽질이다~ 콩크리트에 삽질
머시어 시방 이념이 최우선이죄! 굥산 전체주의 세력들아
대통령이 할 수 있는 건 구호밖에 없지.. 주변의 C급 부하들이 무슨 일을 할 수 있겠어! 이번 잼버린 대회 수준 보면 답 나오지. 아직도 여성가족부 장관 자리보전하고 있잖어.
거기가 꼴통이 있을 자리가 아닌데???...제자리가 아니다 싶으면 빨리 내려오는게 최선이다. 아님 남은건 감방행 밖에 없어. 이런걸 빨리 깨달으면 꼴통이 아니지. 결국 제 자리를 찾아가는거야. 혼자 독수공방하는 곳으로.
검폭오야붕이 뭘 아나?머리에 우동사리만 잔뜩 들고 똥인지 된장인지 먹어도 모르는데.거니가 차라리 통하는게 낫다 ^
삼성 때리기만해서 아무것도 못하게 만든 문재앙 ㅜㅜ 나라 근간을 망쳐놨네.. 만고의 역적이다..
여기가 그 유명한 맛집인가요? 역시
클린봇이 부적절한 표현을 감지한 댓글입니다.
이런걸 그분들이 우째 이해하겠노. 적이냐 아니냐 2분법 구조로 재보고할것
조만간 과기부 부총리가 나와서 없었던 일로 만들겠군 ㅠㅠ
클린봇이 부적절한 표현을 감지한 댓글입니다.
"아무리 쉽게 읽기 편하게 써줘도 윤술통은 유튜브에 빠졌기 때문에 책을 안읽고 안본다는 사실이다, 오직천공과 극우 유튜브만이 신봉하는 개돼지나 다름없다."
"듣고싶은 것만, 보고싶운 것만, 먹고싶은 것만. 이러니 나라가 위험ㄹ함"
"석려라..,,잘 읽어보고, 이봉렬기자에게 ""고맙습니다""해야지"
무식한 자가 뭘 알고 떠드나 써준거나 제대로 읽든지 모르면 공부라도 하든지 전문가를 그렇게 못 믿나
저런 돌을 뽑은 국민은 위대한가 ?? 임기 보장도 할 필요없다 ??
그런거 읽겠어? 카르텔이 원하는 방향을 정해놓고 수치를 조작하고 있을텐데.
무식 무개념
사법시험도 9년 걸렸는데....연구원 보고서 숙지하려면 좀더 시간이 걸릴듯. 어쩌면 퇴임후에 감잡을 수도...
대통령이 다양한 분야의 목소리를 잘듣고 조율하는 정치를 해야되는 자린데 법기술말고 아는것도 없는 인간이 내가 무조건 옳다 이러고 있으니ㅉㅉ
이런거 자세히 분석해서 올려줘도 2찍들은 문재인때문에 삼성이 tsmc에 졌다고 생각합니다..
대한민국 작금의 사태들을 보면 보수와 진보가 바뀐거 같다는 느낌이다. 하긴 저들은 보수도 아니고 보수를 가장한 수구세력 민족 반역자들이지
뇌가 석두에게 너무 많은 것을 바라시네요. 이번 정권은 정적 제거와 뉴라이트 이념에만 촛점을 맞추어 내년 총선에서 승리하는 것 만이 지상 최대의 목표입니다. 국가의 미래가 암울하네요.
"그니까 우리나라 성장동력에 일부였던 사업이 조옷됐다 이말이군요~비메모리부분까지 일본한테마저 졌군요 ,원전팔이 하더만 원자로파괴로 만든 오염수만 잔뜩 가져오시고. 기대한건아니지만 정도가 심허다 심해 박근혜땐 그나마 참모들이라도 일했는디. 폭군이라 참모들도 간신배들만 들 끓으니 처참하다 처참해"
탄핵이 답~~~민주당은 즉각 탄핵 발의에 나서라
멸공과 반국가세력만 외치는 좀비 대통령과 손이 발이되도록 빌 줄만 아는 참모들 낫 놓고 기억지도 모르는 이찍이들 세금깍아주고 혜택 주면 나라도 팔아먹을 강남 서초 이찍이들의 콜라보
대통령의 삽질? 어느나라 대통령을 비난하는 겁니까?초등학생도 자기 학교 선생님이나 부모 비방하는 노골적인 글을 학교신문에 떡하니 올리진 않죠? 최소한의 기본은 지킵시다.이러고 언론의자유?
너무 그러지마라. 접대부끼고 술이나 쳐먹는 왜구가 뭘알겠나..... 접대부 기둥서방이 뭘 알겠냐고... 저걸 뽑은 국민들이 문제지....ㅋㅋㅋ
보고서 볼시간이 없어유~ 극우 유튜브 보면서 술먹어야지유~ㅋㅋ
뭘 제대로 아는게 있어야
이꼴을 보려고 윤가를 찍은게 아니거늘.
"‘아직 안 망했잖아. 더 확실한 것을 가져와.낼 당장 아니 오늘 당장 경제 폭망했다는 증거를 보여줘. 아님 다 가짜뉴스야.’— 이렇게, 2찍과 태극기부대 일베 윤 간첩일당은 오늘도 친일 이념 전파에 몰두하며, 사실보도하는 언론 때려잡고, 자신의 과오를 덮고, 국민을 속여 총선에 탄핵저지선인 100석을 목표로 광분하고 있음."
뭐하나 제대로 하는게없는 바보네 옆에 법사들이 미천하니 하는짓마다 한숨 나온다
그런다고 들을 윤떡이 아니지.
70년대로 회귀하는 쓰레기 정부가 대한민국을 망치고있다 저 자식 뽑은 것들아 니들 손가락부터 자르거라
이념이 중요하댜..굥으로 나라망침
눈먼돈 굴러가는소리.. 정권의 문제이면서.. 동시에 입법부와 행정부 맨파워의 문제. 요즘 정치뉴스보면 아프리카 티비 bj들 연예뉴스 수준이다. 숟가락 얹기 뿐
정말 큰일이네요책임의식없는 대통령은 공부도 안하고 근거도 없이 헛발질만 해대니... 철저한 사전조사와 계획이 필요하다는 글로 읽히는데 제대로 읽은게 맞나요? 어렵네요.
진짜 하늘님 데려가 주셔요.
"예타까지 면제하고 반도체 공장 때려 지을께 아니라 우리가 비메모리 반도체 시장에서 파 먹을 분야를 고민하고 효율적으로 전략과 계획을 짜보라는 이야기네. 근데 이놈들은 공장 때려 짓겠지. 그리고 망하면 문재인 핑계대고, 그리고 이를 보도하면 가짜뉴스라고 기자들 수사하겠지. 그러다 안되면 공장있는 지자체 장과 도지사 책임으로 넘기겠지. 그리고 순방가서 미국 일본 밑으로 들어오라고 설득하러 다니겠지 그리고 귀국해서 이재명이 구속됐나 안됐나 확인하고 검사들 쪼으겠지."
이런 기자들 많이 나와라썩은 대한민국 언론
결국 중요한게 무엇인지 모르고 이슈를 따라서 정책을 세우니 망해간다는 이야기. 원전도 2찍들이 좋아하는거라서 이슈화했을뿐 관심도 없을듯.
무식한데 고집세고 포악하기까지한 인간이 대통령이 되면 나라가 한순간에 망하는구나를 여실히 보여주네요.
친일 매국노 윤석렬이 무식하다는건 니들 매국노 윤석렬 지지하는 정신이상자들도 좀 인정해라..하긴 인정 못하니까 정신이상자들이지~ㅋㅋㅋㅋㅋㅋㅋㅋ
그는 처음 그대로 우이독경 일뿐입니다 항상 귀에 눈에 이렇게 잘 들어오는 소중한 글들을 국민만 보고있을겁니다 이봉열 기자님 늘 응원과 감사합니다
대통령이 B급도 못되는 C급인데 그 밑에 관료들이야 두말할 필요없이 멍텅구리가 아니겠냐..? 살다살다 이명박도 아닌 박근혜를 그리워하는 날도 다 오네..?
도리는 입 하나만 있으면 다되지요!
반도체 전문기자..
반도체가 뭔지나 아는지탄핵만이 살 길 이다
아... 시민기자 였구나..
진짜 삽질이다~ 콩크리트에 삽질
머시어 시방 이념이 최우선이죄! 굥산 전체주의 세력들아
대통령이 할 수 있는 건 구호밖에 없지.. 주변의 C급 부하들이 무슨 일을 할 수 있겠어! 이번 잼버린 대회 수준 보면 답 나오지. 아직도 여성가족부 장관 자리보전하고 있잖어.
거기가 꼴통이 있을 자리가 아닌데???...제자리가 아니다 싶으면 빨리 내려오는게 최선이다. 아님 남은건 감방행 밖에 없어. 이런걸 빨리 깨달으면 꼴통이 아니지. 결국 제 자리를 찾아가는거야. 혼자 독수공방하는 곳으로.
검폭오야붕이 뭘 아나?머리에 우동사리만 잔뜩 들고 똥인지 된장인지 먹어도 모르는데.거니가 차라리 통하는게 낫다 ^
삼성 때리기만해서 아무것도 못하게 만든 문재앙 ㅜㅜ 나라 근간을 망쳐놨네.. 만고의 역적이다..
여기가 그 유명한 맛집인가요? 역시
클린봇이 부적절한 표현을 감지한 댓글입니다.
이런걸 그분들이 우째 이해하겠노. 적이냐 아니냐 2분법 구조로 재보고할것
조만간 과기부 부총리가 나와서 없었던 일로 만들겠군 ㅠㅠ
클린봇이 부적절한 표현을 감지한 댓글입니다.
당진 땅은 또 뭐꼬
머리에 술마시는거 빼곤 든게 없는데...
술빠느라 바쁘다
저런걸 알면 취임한지 일년 반동안 나라 경제 이렇게 망가 졌을까 오로지 북한이 주적이라는 것 밖에 모르는 사람이다 미국 일본 편들면 우리나라 지켜 줄것이다라는 생각밖에 없는 인간
무슨뜻인줄도 모를텐데
대통령이 비메모리를 살리겠다고 말하고 공무원 다그칠께 아니라 미국의 주요 반도체 개발 툴 업체를 만나서 우리나라 중소기업을 위한 인큐베이션 시스템 지원에 서로 윈윈할 수 있는 식으로 준비해야 합니다. 우리나라 비메모리 중소기업이 커야 대응이 되죠. 현재 우리나라는 하청업체수준의 업체밖에 거의 남지 않은 상황이죠. 대만만 하더라도 미디어텍이니 리얼텍이니... 기라성 같은 회사들이 모두 중소기업에서 큰건데...
클린봇이 부적절한 표현을 감지한 댓글입니다.
"비메모리 업에 종사하고 있지만 우리나라 특히 정치인들은 비메모리 투자 하면 떠오르는게 1) 팹 공장 짓기 2) 판교처럼 산업단지 조성 정도로 ""착각""을 합니다. 그건 반도체 산업 투자고 건설투자죠. IP기업육성을 위해서 공정비용 지원, SoC설계를 위한 IP비용 지원 비메모리 업체가 단순히 하청업체로 전락하지 않게 수출할 수 있는 범용 제품에 대한 수출 지원등... 다양하게 나갈 방향이 많죠. 그런데 이런거 전혀 모릅니다. 그냥 땅파고 공사하고 건물짓고 이게 비메모리 투자로 알고 있으니 백날해도 헛수고죠."
삽질....부동산잡겠다고 국토부장관교체가 몇 번이뤄졌는줄 아는가..또 패싱 청문회를 무의미하게만든장본인이누구인가..정권교체는 운동권인사들에맡기면안되는구나..하는걸 뼈져리게느끼면서 이뤄진거야..삽질은 그때그런걸얘기하는거야..
"석열이는 무식해서 어떠한 정책도 실행할 실력이 없다. 했다 하면 대형사고다. 법절차에 의해 어쩌다 대통령이 되었으니 어쩔 수 없고, 쏘맥이나 처묵고 가만히 있어라. 니가 할 수 있는 유일한 길이다."
정말이지 저 화상 죽도록 패 주고싶다
삽질 하고 사고친게 어디 한두번 인가. 손바닥에 王 자 쓸때 부터 정신병자 라는걸 알아봤다.
클린봇이 부적절한 표현을 감지한 댓글입니다.
쥐뿔도 모르면 전문가들 참모로 두고 조언을 들어야 하는데 참모들을 다 검새들로 채우니 나라꼴이 우습게 돌아가지
일본인 륜서결때문에 우리 나라 망하고 있다......독립운동 다시 시작해야 할듯
슈퍼컴퓨터 세운 놈이 또 토건족들 떠받들기에 나섰군
떡렬아 ~ 떡렬아 ~ 너는 답이없는 짐승이다 ~!!!
"아무리 쉽게 읽기 편하게 써줘도 윤술통은 유튜브에 빠졌기 때문에 책을 안읽고 안본다는 사실이다, 오직천공과 극우 유튜브만이 신봉하는 개돼지나 다름없다."
"듣고싶은 것만, 보고싶운 것만, 먹고싶은 것만. 이러니 나라가 위험ㄹ함"
"석려라..,,잘 읽어보고, 이봉렬기자에게 ""고맙습니다""해야지"
무식한 자가 뭘 알고 떠드나 써준거나 제대로 읽든지 모르면 공부라도 하든지 전문가를 그렇게 못 믿나
저런 돌을 뽑은 국민은 위대한가 ?? 임기 보장도 할 필요없다 ??
그런거 읽겠어? 카르텔이 원하는 방향을 정해놓고 수치를 조작하고 있을텐데.
무식 무개념
사법시험도 9년 걸렸는데....연구원 보고서 숙지하려면 좀더 시간이 걸릴듯. 어쩌면 퇴임후에 감잡을 수도...
대통령이 다양한 분야의 목소리를 잘듣고 조율하는 정치를 해야되는 자린데 법기술말고 아는것도 없는 인간이 내가 무조건 옳다 이러고 있으니ㅉㅉ
이런거 자세히 분석해서 올려줘도 2찍들은 문재인때문에 삼성이 tsmc에 졌다고 생각합니다..
대한민국 작금의 사태들을 보면 보수와 진보가 바뀐거 같다는 느낌이다. 하긴 저들은 보수도 아니고 보수를 가장한 수구세력 민족 반역자들이지
뇌가 석두에게 너무 많은 것을 바라시네요. 이번 정권은 정적 제거와 뉴라이트 이념에만 촛점을 맞추어 내년 총선에서 승리하는 것 만이 지상 최대의 목표입니다. 국가의 미래가 암울하네요.
"그니까 우리나라 성장동력에 일부였던 사업이 조옷됐다 이말이군요~비메모리부분까지 일본한테마저 졌군요 ,원전팔이 하더만 원자로파괴로 만든 오염수만 잔뜩 가져오시고. 기대한건아니지만 정도가 심허다 심해 박근혜땐 그나마 참모들이라도 일했는디. 폭군이라 참모들도 간신배들만 들 끓으니 처참하다 처참해"
탄핵이 답~~~민주당은 즉각 탄핵 발의에 나서라
멸공과 반국가세력만 외치는 좀비 대통령과 손이 발이되도록 빌 줄만 아는 참모들 낫 놓고 기억지도 모르는 이찍이들 세금깍아주고 혜택 주면 나라도 팔아먹을 강남 서초 이찍이들의 콜라보
대통령의 삽질? 어느나라 대통령을 비난하는 겁니까?초등학생도 자기 학교 선생님이나 부모 비방하는 노골적인 글을 학교신문에 떡하니 올리진 않죠? 최소한의 기본은 지킵시다.이러고 언론의자유?
